TestSetFileName,Success,Managed,Fails,Skipped,Dependencies,Crashes,UnsupportedTypes,UnsupportedErrorCodes,Sum,Processed,Matches
fn/abs.xml,16,34,0,0,0,5,121,12,188,188,OK
fn/adjust-date-to-timezone.xml,5,26,5,0,0,0,0,5,41,41,OK
fn/adjust-dateTime-to-timezone.xml,5,34,1,0,0,1,0,7,48,48,OK
fn/adjust-time-to-timezone.xml,5,31,3,0,0,0,0,3,42,42,OK
fn/apply.xml,0,0,2,0,0,12,2,1,17,17,OK
fn/available-environment-variables.xml,2,0,0,0,0,8,1,0,11,11,OK
fn/avg.xml,13,64,0,0,0,1,117,44,239,239,OK
fn/boolean.xml,17,52,1,0,0,9,48,16,143,143,OK
fn/ceiling.xml,20,16,0,0,0,7,51,0,94,94,OK
fn/codepoint-equal.xml,9,26,0,0,0,1,0,0,36,36,OK
fn/codepoints-to-string.xml,29,20,9,0,0,1,0,19,78,78,OK
fn/collection.xml,1,0,4,0,12,4,1,11,33,33,OK
fn/concat.xml,4,41,5,0,0,0,45,1,96,96,OK
fn/contains.xml,10,29,0,0,7,27,0,2,75,75,OK
fn/count.xml,21,183,2,0,0,12,98,0,316,316,OK
fn/current-date.xml,4,22,0,0,0,0,0,0,26,26,OK
fn/current-dateTime.xml,4,23,0,0,0,0,0,0,27,27,OK
fn/current-time.xml,4,20,0,0,0,0,0,0,24,24,OK
fn/dateTime.xml,3,43,1,0,0,1,0,4,52,52,OK
fn/day-from-date.xml,3,24,0,0,0,0,0,0,27,27,OK
fn/day-from-dateTime.xml,3,24,0,0,0,0,0,0,27,27,OK
fn/days-from-duration.xml,3,28,0,0,0,0,0,0,31,31,OK
fn/deep-equal.xml,35,71,3,0,16,67,68,3,263,263,OK
fn/distinct-values.xml,13,41,2,1,0,0,46,3,106,106,OK
fn/doc-available.xml,1,0,1,0,0,9,0,6,17,17,OK
fn/empty.xml,9,17,0,0,0,1,27,0,54,54,OK
fn/encode-for-uri.xml,10,18,0,0,0,1,0,0,29,29,OK
fn/ends-with.xml,9,28,0,0,3,13,0,2,55,55,OK
fn/error.xml,1,5,0,0,0,2,52,38,98,98,OK
fn/exactly-one.xml,5,15,0,0,0,1,27,6,54,54,OK
fn/exists.xml,14,16,0,0,0,1,27,0,58,58,OK
fn/false.xml,0,23,1,0,0,1,0,0,25,25,OK
fn/floor.xml,20,16,0,0,0,1,51,0,88,88,OK
fn/format-date.xml,2,6,13,0,15,88,0,8,132,132,OK
fn/format-dateTime.xml,2,16,9,0,11,53,0,1,92,92,OK
fn/format-time.xml,3,3,9,0,0,66,0,10,91,91,OK
fn/head.xml,2,0,0,0,0,6,0,0,8,8,OK
fn/hours-from-dateTime.xml,3,24,0,0,0,0,0,0,27,27,OK
fn/hours-from-duration.xml,3,28,0,0,0,0,0,0,31,31,OK
fn/hours-from-time.xml,3,24,0,0,0,0,0,0,27,27,OK
fn/index-of.xml,10,10,0,0,0,23,9,1,53,53,OK
fn/insert-before.xml,17,19,2,0,0,0,4,1,43,43,OK
fn/json-doc.xml,0,7,2,0,0,34,3,22,68,68,OK
fn/last.xml,25,16,0,0,0,27,0,1,69,69,OK
fn/lower-case.xml,4,23,1,0,0,0,0,0,28,28,OK
fn/max.xml,18,66,0,0,0,1,110,13,208,208,OK
fn/matches.xml,3,27,5,0,0,121,0,10,166,166,OK
fn/matches.re.xml,0,109,131,0,0,718,0,51,1009,1009,OK
fn/min.xml,18,64,0,0,0,1,111,13,207,207,OK
fn/minutes-from-dateTime.xml,3,24,0,0,0,0,0,0,27,27,OK
fn/minutes-from-duration.xml,3,29,0,0,0,0,0,0,32,32,OK
fn/minutes-from-time.xml,3,24,0,0,0,0,0,0,27,27,OK
fn/month-from-date.xml,3,24,0,0,0,0,0,0,27,27,OK
fn/months-from-duration.xml,3,28,0,0,0,0,0,0,31,31,OK
fn/month-from-dateTime.xml,3,24,0,0,0,0,0,0,27,27,OK
fn/normalize-space.xml,9,23,2,0,4,1,0,0,39,39,OK
fn/normalize-unicode.xml,20,16,3,0,0,2,0,4,45,45,OK
fn/not.xml,3,32,2,0,0,16,28,2,83,83,OK
fn/number.xml,7,27,2,0,0,0,30,0,66,66,OK
fn/one-or-more.xml,7,14,0,0,0,1,27,7,56,56,OK
fn/position.xml,40,4,0,0,0,22,0,1,67,67,OK
fn/remove.xml,22,20,2,0,0,0,6,1,51,51,OK
fn/replace.xml,11,23,0,0,0,42,0,15,91,91,OK
fn/reverse.xml,22,15,0,0,0,5,27,1,70,70,OK
fn/round.xml,7,118,1,0,0,1,134,0,261,261,OK
fn/round-half-to-even.xml,48,24,0,0,0,2,54,0,128,128,OK
fn/seconds-from-dateTime.xml,3,24,0,0,0,0,0,0,27,27,OK
fn/seconds-from-duration.xml,3,29,0,0,0,0,0,0,32,32,OK
fn/seconds-from-time.xml,3,24,0,0,0,0,0,0,27,27,OK
fn/serialize.xml,0,0,16,0,6,88,24,34,168,168,OK
fn/starts-with.xml,10,28,0,0,4,21,0,1,64,64,OK
fn/string.xml,4,18,4,0,2,4,31,8,71,71,OK
fn/string-join.xml,5,32,1,0,0,7,1,0,46,46,OK
fn/string-length.xml,6,23,4,0,2,0,0,1,36,36,OK
fn/string-to-codepoints.xml,24,20,0,0,0,0,0,0,44,44,OK
fn/subsequence.xml,50,32,10,0,0,10,4,1,107,107,OK
fn/substring.xml,17,23,7,0,0,1,0,0,48,48,OK
fn/substring-after.xml,12,22,0,0,5,15,0,1,55,55,OK
fn/substring-before.xml,11,22,0,0,4,15,0,2,54,54,OK
fn/sum.xml,13,66,3,0,0,3,131,6,222,222,OK
fn/tail.xml,4,0,0,0,0,2,0,0,6,6,OK
fn/timezone-from-date.xml,3,29,1,0,0,0,0,1,34,34,OK
fn/timezone-from-dateTime.xml,3,24,0,0,0,0,0,0,27,27,OK
fn/timezone-from-time.xml,3,24,0,0,0,0,0,0,27,27,OK
fn/tokenize.xml,12,14,7,0,0,29,0,5,67,67,OK
fn/trace.xml,4,12,2,0,0,10,1,1,30,30,OK
fn/transform.xml,0,0,0,0,124,0,0,0,124,124,OK
fn/translate.xml,19,19,5,0,0,0,1,0,44,44,OK
fn/true.xml,0,23,1,0,0,1,0,0,25,25,OK
fn/unordered.xml,7,19,2,0,0,10,4,1,43,43,OK
fn/upper-case.xml,4,24,1,0,0,0,0,0,29,29,OK
fn/uri-collection.xml,1,0,3,0,0,1,0,2,7,7,OK
fn/year-from-date.xml,3,24,0,0,0,0,0,0,27,27,OK
fn/years-from-duration.xml,3,28,0,0,0,0,0,0,31,31,OK
fn/year-from-dateTime.xml,3,24,0,0,0,0,0,0,27,27,OK
fn/zero-or-one.xml,5,16,0,0,0,0,27,3,51,51,OK
math/math-acos.xml,0,9,0,0,0,0,0,0,9,9,OK
math/math-asin.xml,0,9,0,0,0,0,0,0,9,9,OK
math/math-atan.xml,0,7,2,0,0,0,0,0,9,9,OK
math/math-atan2.xml,0,10,0,0,0,0,0,0,10,10,OK
math/math-cos.xml,0,9,0,0,0,0,0,0,9,9,OK
math/math-exp.xml,0,9,0,0,0,0,0,0,9,9,OK
math/math-exp10.xml,0,6,2,0,0,0,0,0,8,8,OK
math/math-log.xml,0,9,0,0,0,0,0,0,9,9,OK
math/math-log10.xml,0,8,1,0,0,0,0,0,9,9,OK
math/math-pi.xml,0,3,0,0,0,1,1,0,5,5,OK
math/math-pow.xml,0,29,5,0,0,0,0,0,34,34,OK
math/math-sin.xml,0,9,0,0,0,0,0,0,9,9,OK
math/math-sqrt.xml,0,9,0,0,0,0,0,0,9,9,OK
math/math-tan.xml,0,11,0,0,0,0,0,0,11,11,OK
map/keys.xml,0,3,0,0,0,10,0,1,14,14,OK
map/call.xml,2,0,1,0,0,15,8,0,26,26,OK
array/flatten.xml,0,5,0,0,0,5,0,0,10,10,OK
array/size.xml,0,6,1,0,0,0,0,0,7,7,OK
xs/anyURI.xml,0,9,0,0,0,8,0,0,17,17,OK
xs/base64Binary.xml,0,30,0,0,0,1,0,8,39,39,OK
xs/double.xml,0,4,1,0,0,0,0,0,5,5,OK
xs/float.xml,0,0,0,0,0,0,6,0,6,6,OK
xs/hexBinary.xml,0,1,0,0,0,0,0,0,1,1,OK
op/add-dayTimeDurations.xml,18,43,0,0,0,0,0,0,61,61,OK
op/add-dayTimeDuration-to-date.xml,0,22,2,0,2,0,0,1,27,27,OK
op/add-dayTimeDuration-to-dateTime.xml,4,22,0,0,0,0,0,1,27,27,OK
op/add-dayTimeDuration-to-time.xml,1,23,2,0,0,0,0,0,26,26,OK
op/add-yearMonthDurations.xml,0,27,0,0,0,0,0,0,27,27,OK
op/add-yearMonthDuration-to-date.xml,2,24,0,0,0,0,0,1,27,27,OK
op/add-yearMonthDuration-to-dateTime.xml,4,24,0,0,0,0,0,1,29,29,OK
op/anyURI-equal.xml,0,18,0,0,0,0,4,0,22,22,OK
op/anyURI-greater-than.xml,0,10,0,0,0,0,0,0,10,10,OK
op/anyURI-less-than.xml,0,8,0,0,0,0,0,0,8,8,OK
op/base64Binary-equal.xml,0,30,0,0,0,0,0,0,30,30,OK
