TestSetFileName,Success,Managed,Fails,Skipped,Dependencies,Crashes,UnsupportedTypes,UnsupportedErrorCodes,Sum,Processed,Matches
fn/abs.xml,14,15,19,0,0,3,120,12,183,183,OK
fn/adjust-date-to-timezone.xml,4,21,5,0,0,6,0,5,41,41,OK
fn/adjust-dateTime-to-timezone.xml,4,28,1,0,0,8,0,7,48,48,OK
fn/adjust-time-to-timezone.xml,4,27,2,0,0,6,0,3,42,42,OK
fn/analyze-string.xml,0,0,4,0,4,22,1,3,34,34,OK
fn/apply.xml,0,0,2,0,0,12,2,1,17,17,OK
fn/available-environment-variables.xml,2,1,0,0,0,8,0,0,11,11,OK
fn/avg.xml,13,42,0,0,0,23,117,44,239,239,OK
fn/base-uri.xml,1,0,10,0,0,65,6,0,82,82,OK
fn/boolean.xml,16,41,5,0,0,18,48,15,143,143,OK
fn/ceiling.xml,12,10,11,0,0,4,50,0,87,87,OK
fn/codepoint-equal.xml,9,17,0,0,0,10,0,0,36,36,OK
fn/codepoints-to-string.xml,26,15,12,0,0,8,0,18,79,79,OK
fn/collation-key.xml,0,0,1,0,2,25,0,0,28,28,OK
fn/collection.xml,1,0,4,0,12,4,1,11,33,33,OK
fn/compare.xml,10,0,1,0,9,73,1,2,96,96,OK
fn/concat.xml,4,31,10,0,0,5,45,1,96,96,OK
fn/contains.xml,9,27,0,0,7,23,0,1,67,67,OK
fn/contains-token.xml,0,0,0,0,0,37,0,0,37,37,OK
fn/count.xml,20,151,3,0,0,44,98,0,316,316,OK
fn/current-date.xml,4,17,0,0,0,5,0,0,26,26,OK
fn/current-dateTime.xml,4,18,1,0,0,4,0,0,27,27,OK
fn/current-time.xml,4,15,0,0,0,5,0,0,24,24,OK
fn/data.xml,3,0,1,0,9,21,27,4,65,65,OK
fn/dateTime.xml,2,0,1,0,0,45,0,4,52,52,OK
fn/day-from-date.xml,3,24,0,0,0,0,0,0,27,27,OK
fn/day-from-dateTime.xml,3,24,0,0,0,0,0,0,27,27,OK
fn/days-from-duration.xml,3,28,0,0,0,0,0,0,31,31,OK
fn/deep-equal.xml,38,56,3,0,16,82,65,3,263,263,OK
fn/default-collation.xml,2,0,1,0,0,4,0,0,7,7,OK
fn/default-language.xml,0,0,0,0,1,5,0,0,6,6,OK
fn/distinct-values.xml,12,17,20,0,0,8,46,3,106,106,OK
fn/doc.xml,1,0,10,0,0,24,2,8,45,45,OK
fn/doc-available.xml,1,0,3,0,0,7,0,6,17,17,OK
fn/document-uri.xml,2,0,14,0,0,37,0,1,54,54,OK
fn/element-with-id.xml,0,0,0,0,0,5,0,0,5,5,OK
fn/empty.xml,9,10,0,0,0,8,27,0,54,54,OK
fn/encode-for-uri.xml,10,17,1,0,0,1,0,0,29,29,OK
fn/ends-with.xml,8,27,0,0,3,15,0,2,55,55,OK
fn/environment-variable.xml,3,1,3,0,0,5,0,0,12,12,OK
fn/error.xml,1,0,8,0,0,4,2,83,98,98,OK
fn/escape-html-uri.xml,3,0,1,0,0,30,0,0,34,34,OK
fn/exactly-one.xml,5,9,2,0,0,5,27,6,54,54,OK
fn/exists.xml,14,10,0,0,0,7,27,0,58,58,OK
fn/false.xml,0,0,1,0,0,24,0,0,25,25,OK
fn/filter.xml,4,1,7,0,8,10,2,3,35,35,OK
fn/floor.xml,13,8,12,0,0,4,51,0,88,88,OK
fn/fold-left.xml,0,0,5,0,0,19,2,0,26,26,OK
fn/fold-right.xml,0,0,5,0,0,20,0,0,25,25,OK
fn/for-each.xml,0,0,3,0,0,13,1,0,17,17,OK
fn/for-each-pair.xml,6,1,13,0,2,11,1,15,49,49,OK
fn/format-date.xml,2,1,18,0,3,88,0,8,120,120,OK
fn/format-dateTime.xml,2,0,3,0,11,75,0,1,92,92,OK
fn/format-integer.xml,0,0,1,0,14,50,0,12,77,77,OK
fn/format-number.xml,1,0,3,0,4,226,1,27,262,262,OK
fn/format-time.xml,3,0,9,0,0,69,0,10,91,91,OK
fn/function-lookup.xml,6,0,11,0,12,638,1,6,674,674,OK
fn/function-arity.xml,4,1,6,0,2,9,0,1,23,23,OK
